Timestamp,NameGiven,NameFamily,Organization,Title,URL,Status
5/22/2019 4:38:04,Mark,Musen,Center for Expanded Data Annotation and Retrieval (CEDAR),Director,https://metadatacenter.org,My Institution
5/22/2019 13:56:06,Martin,Halbert,UNC Greensboro,Dean of University Libraries,http://library.uncg.edu,My Institution
5/22/2019 20:41:46,Ann,Thornton,Columbia University Libraries,Vice Provost and University Librarian,http://library.columbia.edu,My Institution
5/22/2019 22:59:01,Amanda,Page,Syracuse University Libraries,Open Publishing and Copyright Librarian,https://library.syr.edu/,Myself
5/23/2019 11:57:15,Thomas,Shafee,WikiJournal User Group,Chair,https://en.wikiversity.org/wiki/WikiJournal_User_Group,My Institution
5/23/2019 14:37:21,Sherry,Lake,University of Virginia,Scholarly Repository Librarian,https://www.library.virginia.edu/libra/,Myself
5/23/2019 23:23:08,Luqman,Hayes,Auckland University of Technology,Scholarly Communications Team Leader,https://tuwhera.aut.ac.nz/,Myself
5/24/2019 19:14:57,Kristi,Palmer,IUPUI University Library,Herbert Simon Family Dean,http://www.ulib.iupui.edu,My Institution
5/25/2019 20:50:27,Kamran,Naim,Annual Reviews,Director of Partnerships & Initiatives,http://www.annualreviews.org,Myself
5/26/2019 19:12:12,Nanci,Oddone,Federal University of the State of Rio de Janeiro (Unirio),Professor,http://www.unirio.br,Myself
5/27/2019 9:56:23,Samir,Hachani,Algiers University,Lecturer at the School of Library Science,http://www.univ-alger2.dz/index.php/fr/,Myself
5/28/2019 7:34:27,Susan,Murray,African Journals Online (AJOL),Executive Director,https://www.ajol.info/,My Institution
5/28/2019 13:07:13,Robin,Sinn,Johns Hopkins University,"Coordinator, Office of Scholarly Communication",http://www.jhu.edu,Myself
5/28/2019 15:31:25,Kathleen,DeLaurenti,The Peabody Institute of the Johns Hopkins University,Head Librarian,http://musiclibrary.peabody.jhu.edu,Myself
5/28/2019 15:51:34,Ellen,Dubinsky,University of Arizona,Scholarly Communication Librarian,https://library.arizona.edu/,Myself
5/28/2019 15:51:42,Fiona,Murphy,MMC Ltd,Owner,https://www.murphymitchellconsulting.com,Myself
5/28/2019 16:27:58,Carolyn,Walters,Indiana University Bloomington,Dean of Libraries,https://libraries.indiana.edu/,My Institution
5/28/2019 16:59:25,Peter,Kraker,Open Knowledge Maps,Chairman,https://openknowledgemaps.org,My Institution
5/29/2019 15:48:35,Selorm,Ankudey,University of Energy and Natural Resources,Junior Assistant Librarian,https://www.uenr.edu.gh/,Myself
5/30/2019 2:45:25,Vicky,Steeves,New York University,Librarian for Research Data Management and Reproducibility,https://vickysteeves.com,Myself
5/30/2019 19:06:55,Kevin,Stranack,Public Knowledge Project at Simon Fraser University Library,Managing Director,https://pkp.sfu.ca,Myself
5/31/2019 1:05:30,Zach,Chandler,Stanford University,"Director, Research IT & Innovation",https://www.stanford.edu/,My Institution
5/31/2019 19:52:21,Alainna,Wrigley,"California Digital Library, University of California Office of the President",Publication Management System Coordinator,http://uc-oa.info,Myself
6/2/2019 20:34:42,Arild,Skalmeraas,University of Southeastern Norway,Senior Librarian,http://bibliotek.usn.no/english/,Myself
6/3/2019 16:58:58,Alex,Kleiner,sci.city,CEO,https://sci.city/,My Institution
6/4/2019 16:14:55,Steve,Rollins,University of Alaska Anchorage,"Dean, UAA/APU Consortium Library",https://consortiumlibrary.org,My Institution
6/5/2019 19:39:21,Hans,de Jonge,Dutch Research Council (NWO),Head of Open Science,http://www.nwo.nl,Myself
6/5/2019 19:59:21,Günter,Waibel,California Digital Library,Associate Vice Provost and Executive Director,https://www.cdlib.org/,My Institution
